Date,1. Kacchi Basmati ( P1 ),1. Kacchi Basmoti ( P3 ),1. Kacchi Basmati ( P5 ),2. Kacchi Basmati ( P1 ),2. Kacchi Basmoti ( P3 ),2. Kacchi Basmati ( P5 ),3. Kacchi Basmati ( P1 ),3. Kacchi Basmati ( P3 ),3. Kacchi Basmati ( P5 ),Achari Kabab,Chicken Reshmi Kabab,Chicken Hariali,Chicken Tikka,Mutton Boti Kabab,Chicken Roast,Jali Kabab,Mutton Rezala,Plan Naan,Butter Naan,Garlic Naan,Tilli Naan,Kashmiri Naan,Afgani Naan,Nawabiana Special Naan,Firni,Jorda,Water ( Large ),Burhani ( 1 Glass ),Chicken chap,Chicken Taoya Jhal,Chicken Tandoori,Morog polao (Dim),Kacchi set,Polao set,Set 01,Set 02,Set 03,Set 04,Pepsi 400mg,Drinks,Chicken Boti Taoya,Kacchi,Garlic chilli naan,Burhani(half litter),Burhani(1 litter),Kacchi special,Plain Polao Set 1,Morog pola (Dim),Chicken onion chaap,Burhani (half litter),Jali kabab,Jorda.1,Chicken Boti Taoya.1,Chicken Taowa Jhal,Chicken achari kabab,Chicken Tandoori.1,Plan naan,Butter naan,Garlic naan,Garlic chilli naan.1,Kashmiri Naan.1,Afghani naan,Nawabiana special naan,Ramadan Platter 01,Grill Platter,Kacchi set 2,Water half litter,Plain Polao Set 2,Nawabiana Kashmiri Naan,Chicken Nawabi Kabab,Chicken Onion Chap,Kasmiri Faluda,Regular Lacchi,Mango Lacchi,Badam Lacchi,Salt lacchi,HOT Coffee,Chocolate Cold Coffee,Ice Cream (2 Scoop),Ice Cream (3 Scoop),Banana Milkshake,Strawberry Milkshake,Vanilla Milkshake,Chocolate Milkshake,Mango Milshake,Oreo Milkshake,Kitkat Milkshake,Caramel Cold Coffee,Kaju Milkshake,Coconut Milkshake,Mix Fruits Juice,Nawabiana Special Fruits Salad,Special lacchi,Egg,4. Kacchi Basmati(P1),4. Kacchi Basmati(P3),Morog pola (Jali),Jhal Misty Voj,Achari Voj,Kashmiri voj,Nawabi Voj,Kacchi (Package),Plain Polao (Package),4. Kacchi Basmati(P5),Kacchi (4pcs Mutton),Jhal Misty Voj.1,Achari Voj.1,"Tandoori
 Voj",Nawabi Voj.1,Morog polao (jali),Firni.1,Chicken chap.1,KACCHI SET 3,Tikka Kabab,Morog polao without egg,Iftar package 01,Iftar package 2,Iftar package 03,Iftar package 4,Iftar package 5,Iftar package 6,Malai Lacchi,Blueberry Lacchi,Apple juice,Grape Juice,Malta Juice,Papaya  Juice,Pineapple Juice,Raw Mango,Ripe Mango,Olive Juice,Rose Apple  Juice,Oreo Cold Coffee,KitKat Cold Coffee,Special Faluda,Fruit salada
2022-07-31,401.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,16.0,60.0,7.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,81.0,40.0,10.0,18.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,241.0,2.0,40.0,3.0,1.0,7.0,0.0,2.0,18.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,8.0,13.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,539.0,4.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,22.0,43.0,2.0,0.0,1.0,5.0,0.0,13.0,0.0,0.0,92.0,28.0,3.0,12.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,285.0,0.0,25.0,0.0,10.0,3.0,0.0,3.0,48.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,26.0,12.0,15.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,447.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,17.0,40.0,12.0,0.0,5.0,4.0,0.0,13.0,0.0,7.0,68.0,45.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,274.0,0.0,24.0,3.0,4.0,1.0,0.0,0.0,48.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,107.0,0.0,0.0,0.0,23.0,10.0,18.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-03,451.0,5.0,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,26.0,64.0,5.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,68.0,48.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,294.0,3.0,44.0,0.0,3.0,4.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,117.0,0.0,0.0,0.0,37.0,16.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-04,530.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,45.0,58.0,19.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,51.0,43.0,10.0,11.0,21.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,390.0,1.0,19.0,0.0,11.0,13.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,12.0,14.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,133.0,0.0,0.0,0.0,49.0,19.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-05,421.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,14.0,23.0,15.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,71.0,18.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1.0,29.0,1.0,5.0,0.0,58.0,4.0,32.0,15.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,25.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,129.0,0.0,0.0,0.0,31.0,19.0,12.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-06,385.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,12.0,29.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,37.0,27.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,23.0,1.0,0.0,2.0,0.0,2.0,27.0,12.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,29.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,14.0,24.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-07,371.0,1.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,8.0,0.0,7.0,48.0,4.0,0.0,6.0,4.0,0.0,9.0,0.0,0.0,74.0,27.0,5.0,12.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,70.0,0.0,28.0,9.0,7.0,2.0,0.0,0.0,25.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,9.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,470.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-08,451.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,14.0,0.0,19.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,52.0,12.0,3.0,4.0,32.0,2.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,10.0,28.0,0.0,5.0,2.0,0.0,0.0,20.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,319.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,27.0,28.0,2.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,38.0,29.0,3.0,3.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,39.0,0.0,6.0,1.0,0.0,1.0,15.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
