,Vegetarian's Delight,BBQ Chicken Pizza,Cheesy Sausage Pizza,Chicken Supreme Pizza,Beef Pepperoni Pizza,French Fries,Cheese Balls,Classic Margherita Pizza,Four Seasons Pizza,Corn & Cheese Pizza,Sauteed Garlic Mushroom,Pizza Fun-Guy (Funghi),Hawaiian BBQ Chicken Pizza,Chicken Cashew Nut Salad,Water 500ml,Chicken Wings,Potato Wedges,Single Chicken Burger,Single Beef Burger,Double Chicken Burger,Double Beef Burger,Pizza Seafood Marinara,Prawn-Lime Pizza,Chicken Cheese Balls,Fried Calamari,Tandoori Chicken Pizza,Naga Beef Pizza,Club Sandwich,Smoked Chicken Sandwich,Crispy Chicken Burger,Chicken Caesar Salad,Fish & Chips,Teriyaki Chicken,Mongolian Beef,Moroccan Chicken,Penne Alfredo,Spaghetti Bolognese,Fettuccine Alfredo,Seafood Marinara,Coke,Sprite,Fanta,Espresso,Doppio,Macchiato,Americano,Cappuccino,Latte,Flavored Latte,Caffe Mocha,White Mocha,Full English Breakfast,Continental Light Breakfast,Chicken Butterfly,Blueberry Cheese Cake,Cream of Mushroom,Blueberry Cheesecake Shake,Oreo Vanilla Shake,Strawberry Shake,Apple Soda,Lime Soda,Mango Cheese Cake,Brownie with Ice Cream,Seafood Clear,Hot & Sour,Light English Breakfast,English Breakfast Tea,Earl Grey,Green Tea & Mint,Spaghetti Aglio e Olio,Fettuccine Creme Lime,Zero Coke Can,Prawn Tempura,Grilled Dory,Thai Soup,Munchie Brownie,Fudge Brownie,Chicken & Chips,Honey-Ginger Chicken,Chocolate Chips Cookie,Almond Cookie,Garlic Chicken Pizza,Tom Yum Soup,Greek Salad,Stir-fried Chicken Basil,Beef Steak (300+ gms),Meat Lovers,Classic BBQ,Mango Shake,Chocolate Shake,Virgin Mojito/Nojito,Goa Lemon,English Afternoon Tea,Fruit-flavored Tea,Ceylon Supreme,Soda water (Schweppes),Dry Ginger Ale (Schweppes),Tonic Water (Schweppes),Seafood Salad,Chicken Pasta Salad,Pasta Basta,Cheese Sandwich,Thai Fried Rice,Thai Chow Mein (Pad Thai),Fried Chicken with fries,Stir-fired Beef Basil,Peanut Butter Cookie,Americano Misto,Hot Chocolate,Himalayan Tea,Burger Cheese,Poached Egg,Etra Fries,Glass Coke,Glass Sprite,Seven up,Pepsi,Glass fanta,Mirinda,Mountain Dew,Rice,Moroccan Chicken Platter,Teriyaki chicken Platter,Mongolian beef Platter,Chicken Basil Platter,Honey Ginger Chicken Platter,Beef Basil Platter,Grilled Dory Platter
Vegetarian's Delight,1.0,0.028336433318029566,0.02016947773338946,0.0181514578874614,0.01784247336711466,0.016405281111478317,0.014673614459302646,0.014534880224383831,0.0144661947338573,0.014034282801183923,0.012652889034316783,0.012050027723370318,0.012044345548022063,0.012036848697458934,0.01193029241300419,0.011543438223871444,0.01146254960175642,0.011041440591425025,0.010698671877442344,0.010697167004840401,0.010291144591177427,0.010105744832395137,0.009673328233595882,0.009602270556567441,0.00919170070753468,0.009087178446629953,0.00898839057681082,0.00898807617847886,0.008875163889966937,0.008779634072290007,0.008685546936337944,0.00863243266315811,0.008397352289516422,0.008293487882587457,0.008291768629879941,0.008134604214602381,0.007842347040497511,0.007580282666545771,0.007274939331362785,0.007241981037650832,0.007145434773716977,0.007119387384194472,0.007117155377420451,0.006936935354870431,0.00629772589997249,0.006281295738214561,0.006230410705738772,0.006139264635101202,0.005967898541330768,0.0058996392063187285,0.005880143299015662,0.005742898768577976,0.005378139941113288,0.005353437467805045,0.005246621213333155,0.005216596565013382,0.0051891521942882485,0.005116587959946571,0.005058720659331512,0.004973183839085465,0.004941514667665845,0.0048861777076918056,0.004708615469611327,0.0046265881235427585,0.004492077514591634,0.00434070068342923,0.004273597835683535,0.0042567514743228,0.0042508537753523324,0.004114371099802461,0.004108002411530005,0.004079148622948008,0.0038878163172253403,0.0038664322302152045,0.0037942633595174366,0.003546010617582354,0.00333070864638594,0.0033138332151884295,0.003216336150350066,0.0030943384094803215,0.0030755350322812635,0.002917642435463218,0.0028387064745142437,0.0028006302543422987,0.002748478968054429,0.002628048859347645,0.0026180295245542807,0.0026021398059193493,0.0025911545132806316,0.002552533369532114,0.0025264594356548442,0.0023354508513243268,0.002323209594755855,0.0022517108197401773,0.002146320295933927,0.002138576096200378,0.0020275685757098604,0.0019759588750269653,0.001956222190604768,0.001869627745350949,0.0018476287018653298,0.0017311241180679082,0.0017135267470159172,0.001638376392363517,0.001570528763300251,0.0015240823411008658,0.0015110873540114993,0.001340967874323071,0.0011907206869509047,0.0011216193924754813,0.0010574636401856712,0.0010574636401856703,0.0009157743304531158,0.0009157743304531145,0.0008576812242295284,0.0006475332213677068,0.0006475332213677048,0.0002891642591058082,0.00026645632415945176,0.00018651325769622053,0.00017286080941696587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBQ Chicken Pizza,1.0,0.055752939748705856,0.05360882990700362,0.05128867814808212,0.05067452716731322,0.04952490008204044,0.0414319622721639,0.04109874725055833,0.03824878574358379,0.0374857416700443,0.03733280564767915,0.034988748196460105,0.03410883862974592,0.03392449176230693,0.03250166125386323,0.03179298533143708,0.030476549787567433,0.02966264989971653,0.02718063752608316,0.02661854370370845,0.026503096299997555,0.026210062131240736,0.02590088468109749,0.02572552313163265,0.024215771307043894,0.02418945312079314,0.024078896171010344,0.023753400069154423,0.023734006856055943,0.023333202290600694,0.0227640854455092,0.02262160704229306,0.022018746370973685,0.021659290818493097,0.02152403004375033,0.021362007071107178,0.021346983991946292,0.020850013610164305,0.020572085017466973,0.020571691362591644,0.020198249193081795,0.020151907382177207,0.020106775472883927,0.019648401733024744,0.018582026274908674,0.01857986994320271,0.01857693112523856,0.01850996763818727,0.018103829160276533,0.01784247336711466,0.017702820638953218,0.017383548413961444,0.017341178070883808,0.01705697412727187,0.01681873605549855,0.016695711856885957,0.016638690487101312,0.0160943400549166,0.015663939154949777,0.015654559633259877,0.015558409123023243,0.01553366065950402,0.015050741969075333,0.014723944544119209,0.014607378997904909,0.014377337242497486,0.014230259944725354,0.013468873658241025,0.013451545666591106,0.013307391446232926,0.01311374514350726,0.013096292808679393,0.012934243259472867,0.012706948972081765,0.012702261152547276,0.012519091219317298,0.012315616512360067,0.012285969867710932,0.01225481088597364,0.012036458583809048,0.011758817913745345,0.011702848093547645,0.011648469754412498,0.011580715971462844,0.01086964004857859,0.01057145270125371,0.010439693779865974,0.010203945426371408,0.01019238842404854,0.010137401133424552,0.00959671397333384,0.009479942320315161,0.009436934140348636,0.00925367661241761,0.009166897943273404,0.00883272947713408,0.008555904058319411,0.008357418925231244,0.008188458915512698,0.007745016795579494,0.007489553190101056,0.0073237027543258644,0.007311692169925429,0.006952889927454416,0.006945085113481065,0.006812797163927525,0.0067547083003536386,0.0067025292678103655,0.005687082557954621,0.005013748411088849,0.004726965922070647,0.004726965922070645,0.00409360084626539,0.00409360084626538,0.0028945368469371962,0.0028945368469371867,0.0019370426654699104,0.0012125813915650169,0.000956164555058059,0.0008100109194792829,0.0007034525858515359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheesy Sausage Pizza,1.0,0.0804577823880126,0.036627181493483825,0.03636059032912201,0.034988748196460105,0.03140574832267589,0.03117943399924405,0.02441616929450468,0.02279464725687305,0.022641703473206112,0.022585172038035,0.021258133161576664,0.021040170272397254,0.020674324163802237,0.020525292560575132,0.02027440277772385,0.0193429306611712,0.01854836981446749,0.016800548006990056,0.01663763165449004,0.016046985658194228,0.01586112101849069,0.01585249668770355,0.01542694669155357,0.01526790117760079,0.015132419452200275,0.014771522990973384,0.014161109702834263,0.013810722747750524,0.013552555866968786,0.012970543688723586,0.012851992969728675,0.012750973869350814,0.01271316554954706,0.012685055985389696,0.012652889034316783,0.012650613610765159,0.012098450557362372,0.01189890004343217,0.011558092945932526,0.011336104284494969,0.011208296988155717,0.011078001483887418,0.010969958832629438,0.01094861086357059,0.010648245038202764,0.010493477712352876,0.010448068165890948,0.01043021012305468,0.009894939165080678,0.009887247579414714,0.00967734242217719,0.00953037719926318,0.009468748518841996,0.009348350830089542,0.008612110208042872,0.008295107304454596,0.0075794157001776675,0.007460016944300465,0.007374466840373523,0.007126238670713417,0.007098660177096737,0.006620792311492814,0.00653672322271722,0.00647469224355109,0.006289547767352023,0.006205184622475355,0.006204407152190503,0.00614328992693896,0.006089636217178365,0.00580060738891284,0.005741062075344353,0.00573420945809604,0.005655774090795043,0.005512022524078498,0.0054953557512125994,0.0054505955014822974,0.005174515160191351,0.005044956881090559,0.005006161260018766,0.004868522245136332,0.004722985413391007,0.004669497827365236,0.004492359292163634,0.004439248408896639,0.004349216003264861,0.004169199237973366,0.004142419484763281,0.0041352694882084515,0.00399841146149325,0.003985108933046956,0.003978602735076224,0.003630050050326351,0.003527295744233806,0.0034102773515886755,0.0033480235378415763,0.0032473989179795134,0.003020105110853176,0.003005007847232556,0.0028234184313294286,0.0024851032711897697,0.002342957307103702,0.0023429573071036955,0.002286028850784733,0.0022585375019643166,0.0020555413863094047,0.0020290249968465987,0.0020290249968465957,0.0019134525379247255,0.001809926858036868,0.0015610469623704754,0.0015245069683662315,0.0014346996293219838,0.0010364211751051385,0.0009663285799322003,0.0009196033958310502,0.0008564029103277131,0.0005051733452088498,0.00021019405473136376,0.00017073562016716926,0.0001350006980627431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken Supreme Pizza,1.0,0.1019788688418214,0.07002156660954334,0.05128867814808212,0.05044331319306995,0.04915972450593954,0.04766341535355499,0.04608735230819092,0.04041951896926812,0.03441091843852438,0.02757268232254446,0.025886778778813263,0.024724272003369133,0.023085528395581274,0.020805229162282998,0.019235168331468995,0.018582393155498426,0.0185513344010636,0.01831167501196418,0.018079985908700708,0.017381339287695814,0.017099843565620717,0.016800548006990056,0.016466530208904456,0.016215540797452736,0.01614513216606683,0.01575758336732512,0.015683622730534374,0.015578917548401017,0.015545974690227405,0.01509919872309833,0.014707453211557907,0.014568545394088394,0.014566453579051735,0.014489389794307143,0.014248552665689305,0.013859979900835172,0.01373067990091818,0.013530164951571054,0.013354420814610014,0.013009550148342703,0.012756892904380372,0.012718739351437377,0.012688669295056668,0.012661146466441177,0.012523435056566586,0.01192830997757732,0.011814992298679671,0.011642773781023566,0.011595833904528284,0.011157026754349401,0.010919678002023711,0.010695292584107747,0.010521757885215326,0.010431106555222131,0.010356595048110076,0.010272662084931774,0.01006655815470435,0.00958059773821961,0.009554265508762778,0.009388720148723944,0.009085390935958393,0.00898807617847886,0.008749518676879975,0.008748431597267355,0.008595438869810934,0.008414969305824565,0.008403539793604335,0.008274276543408905,0.008021068382832971,0.007637212614639714,0.007574250807707629,0.006928510852793338,0.006872155329624697,0.006801077480767406,0.006779204845311622,0.006575738005166953,0.006563178623120151,0.0064707465700035854,0.006424760886468955,0.006063509943832434,0.00597888329298688,0.005671036982256051,0.005523617528468755,0.005313523813250675,0.005253122049387108,0.004942849427360153,0.00490070454925149,0.004753766581730021,0.0046041559956260724,0.004232501184878761,0.004085492930259949,0.00402716864348879,0.003983629531187653,0.0036375959633578366,0.0034926598553317646,0.0034295283183784237,0.003429528318378417,0.003168434163902341,0.003097964683904099,0.002970006608436723,0.0029700066084367175,0.0027769673325571914,0.0026069793528861094,0.0024738766382488555,0.0024001297176736206,0.002100056621692861,0.0021000566216928507,0.0020151349182528384,0.001815434940645081,0.0016007955300901217,0.0014147768008957258,0.001262923579451942,0.0009665288733025397,0.0008755102657188972,0.0008204204494093458,0.000674082558438355,0.00047795542727323027,0.0003241820245592178,5.690016905156251e-05,5.3058923280279385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beef Pepperoni Pizza,1.0,0.054441127331662224,0.037379661616982515,0.0337392882624942,0.03179298533143708,0.02925074395761178,0.026634454940167508,0.0260897025603624,0.025347605284905664,0.02042368801924918,0.019842264553025575,0.017669994900062626,0.017042107550650776,0.016747677924278264,0.01665954712189734,0.01610738831986047,0.01591916220940784,0.015295260658147744,0.014506629020534078,0.013743034575088338,0.0135271508623684,0.01330536307617493,0.012625643620614212,0.012606674717386418,0.0119150370699926,0.011543438223871444,0.011507250353941591,0.011275620662981874,0.011144544355086796,0.011097980798592342,0.011059785210141044,0.01096301705985356,0.010916621191045339,0.010897545530770299,0.010864421519563242,0.010862971523615544,0.010662601841069128,0.010282955654899758,0.010075645136258266,0.010046858046558409,0.009792267820520582,0.009722432277466593,0.009647463638271877,0.009343477268222091,0.009318617962492507,0.009136200411707842,0.009129396609054364,0.009076064015574163,0.008995986149271523,0.00885339075793133,0.0088008013793807,0.008470658382321758,0.008381323057746453,0.008328641480836023,0.008287285275422081,0.00796430356727537,0.007766051152509583,0.0075963895620662315,0.007369327944746667,0.007042364862112983,0.007016201521423751,0.006928510852793338,0.006907602542068415,0.006846505927640017,0.006605209348187746,0.006293976308524246,0.006133534808921361,0.0059410349779135535,0.005932696905350709,0.005930268183469718,0.005902803506557647,0.005622642209538013,0.005233311683500466,0.0051733039694055035,0.005054394450383152,0.00496533280531529,0.004934206715126904,0.00478134656267527,0.004590974244077045,0.004583900508695849,0.004363243022515942,0.004354531738315704,0.0042436915515418035,0.004015328237722398,0.003968081730640719,0.003817367353818079,0.0037167351922669806,0.0036037961632348877,0.0035535564634863116,0.0035186785223066206,0.0033709546914538597,0.003273213545345431,0.0032453047069477977,0.0029195298640399543,0.0028460551484789697,0.0026330757072102603,0.002574231960502615,0.0025188297046910848,0.0024088592126334974,0.002286028850784733,0.0022710743490839697,0.0022710743490839654,0.0019667736198253107,0.001966773619825308,0.0016363117438986646,0.0013906824153024264,0.0013906824153024188,0.0013271163730437282,0.0011742748917794087,0.001103416328937587,0.0010264004755794374,0.0006487298349422462,0.0006014522326992029,0.0006012710418644136,0.0005814258112478903,0.0004869626369118432,0.00035370283785786854,0.00024100127372752122,0.00021789095192284642,0.00012809314665296752,9.509199362134186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Fries,1.0,0.08626757576593108,0.07133515554153935,0.06554387691949459,0.05814734130575084,0.05444858596190703,0.04915972450593954,0.04195900733307879,0.039476384827296665,0.03849939691913591,0.0383443990194873,0.03004241984143398,0.026647812458881676,0.026634454940167508,0.02636939469625864,0.024797254211457224,0.02430973483861981,0.023522903952187015,0.023393013939868722,0.02202056467357955,0.02043768945779641,0.019420465122437794,0.01861120409326083,0.01844093550621477,0.017077424012350295,0.017055456026977472,0.01704594734371233,0.0169661257720338,0.016846849369311415,0.0168056316106104,0.01669497536353224,0.01666548602899571,0.015808677323613372,0.0156052189755667,0.01558033369849905,0.015438808353270538,0.015167330841567473,0.014147613247879625,0.01411368291277746,0.01411213528885729,0.013886721616671507,0.01353390602125683,0.013531511220105184,0.013442293943779408,0.013399015850285885,0.01270932551551743,0.01263992918088321,0.012523961645024225,0.012203419075748555,0.01176158221327416,0.011531028974290614,0.011091265820762123,0.010867431195928378,0.010520444953332365,0.009690912561082819,0.009110650721611066,0.00877317850829854,0.008704668441748572,0.008433640105138281,0.008209528768530176,0.007958986284433934,0.0079574921994566,0.007931639383915067,0.007591271792047152,0.007353244305437369,0.006447460803987056,0.005962905144747203,0.0059078654929193885,0.005751061800462926,0.005726963558090374,0.0056488712170325575,0.005513678397720542,0.005320872955816975,0.005142197122276646,0.005098180453264069,0.004831761287610775,0.004801956752533127,0.004487796837445571,0.0044507822150390034,0.004416701444568126,0.0040789760365628385,0.004017634698980871,0.0037205797929345287,0.0036254647190848417,0.0035864221519752455,0.0033812816089957057,0.0033812816089957005,0.0033051289580008528,0.003284299785316562,0.0030878273768697893,0.0029282244645383627,0.0029282244645383614,0.0026353061025901066,0.002557899005660029,0.002336795923978349,0.0023041025984901578,0.002160866022071374,0.0021046179652819373,0.0020705129608427314,0.002070512960842726,0.002007652853735468,0.0019991976136113977,0.0015674655807976666,0.0013580954371827801,0.0012370571293548018,0.0012318936552303465,0.0010568105731650036,0.0009196033958310502,0.0008758485785834275,0.0007832920302911229,0.0007740055663838912,0.0007502991573506174,0.0007034525858515359,0.0006349236992115851,0.0006253909200737202,0.0006017197426496532,0.0005462461766126474,0.00048206150288817006,0.0004763861030587896,0.00019435781213807395,0.00018651325769622053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheese Balls,1.0,0.044933859261839765,0.03410883862974592,0.028852532600169803,0.022281132025055047,0.021859738417047712,0.021756489772214595,0.021200604749299294,0.020124176587240108,0.020115245486723336,0.0185513344010636,0.01812057167209938,0.016796727035152306,0.016440024510714912,0.016175367830614754,0.016050693568568874,0.015450230547526853,0.015438808353270538,0.01526704833093307,0.015161502242908912,0.015117971745676133,0.014906067813251237,0.014426202284374415,0.014419542277090842,0.014238580696078269,0.01397212793468744,0.013882786595706383,0.013283639479950766,0.012775230139685958,0.012561983740275128,0.012451144890736461,0.011995706819656097,0.011596117310984859,0.011507250353941591,0.011369396230129565,0.011322977278954564,0.010943725750999316,0.010858781509305646,0.010455578768678702,0.010288556269709481,0.009614533016498528,0.009592207290867502,0.009508688199214951,0.009437831944873043,0.009181340924823471,0.008936001240395536,0.00877249224562958,0.008430842726339855,0.008400373636116272,0.008395695911874702,0.008329389163956855,0.008134604214602381,0.008040657563461352,0.007804974511303451,0.007705050114113286,0.007637568755209894,0.007497713688750034,0.0073295475166611675,0.007304346939832336,0.007201748014621219,0.007141854106199494,0.007113945612042169,0.007068540414425234,0.006891360988078097,0.006533929792573618,0.006457768029961397,0.0063709935644049795,0.006212182606165473,0.006142771491573008,0.005531106055994456,0.005376506496557764,0.0053618797793122995,0.005100251339782855,0.004885732062294881,0.004881096900678532,0.004869499464111263,0.004832526516138531,0.004810489335201638,0.004558389541098854,0.004545537488177629,0.004238586033941173,0.004020761683069137,0.003967828769208238,0.003956839192580423,0.003920467267995703,0.00379439884956054,0.0036516942096488374,0.0035105887259783,0.0033351044801084003,0.0032300894970925392,0.003059721820787239,0.002884708124940812,0.002884708124940802,0.0028781105092727764,0.0026438163981245396,0.0024981867473064965,0.0024981867473064957,0.002473660627371374,0.0024098915707452947,0.0022615242715313803,0.0022351175597008226,0.00221321385087707,0.002029702918595085,0.0019110623507294477,0.001889259138172919,0.001766438366165055,0.0017664383661650381,0.0017374530906687842,0.0016823840856881364,0.0015245069683662315,0.0014427963178692584,0.0014040027448842098,0.0013541359971809875,0.0013504868503624711,0.0013416529992610923,0.0010171487401553052,0.0005762892391903616,0.0002650481647379831,0.00026242949382333894,0.00025116302333745035,0.00023755731065453414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classic Margherita Pizza,1.0,0.04041951896926812,0.03824878574358379,0.03695311460413195,0.03525482439882407,0.03453076776664213,0.03146203009975858,0.026647812458881676,0.025968194582383718,0.022644615322759912,0.022585172038035,0.022543742650715532,0.022406068074664175,0.022371925206637666,0.021346826012278906,0.020944645057296426,0.02051028967425035,0.020280218123233516,0.019585312048559053,0.019439038233344565,0.01879442037890991,0.018745728997923688,0.017334829016577232,0.01610051220043757,0.015602082755321246,0.015248444081808676,0.015185945558426374,0.015167262516425327,0.014892423141031829,0.014689603275955523,0.014131415665400198,0.013920202201534311,0.01357285869604507,0.012994388877239912,0.012988666053516774,0.012851766623591627,0.012698088352209667,0.012584491456561833,0.01254809931523776,0.012250149197541272,0.01221595869419032,0.01202453328391449,0.011922946120893532,0.011880502269927526,0.011812524723348074,0.011365069999203644,0.011344512269995546,0.01132567911511331,0.011271846939034783,0.011225960420446447,0.011099434791293817,0.010943725750999316,0.010540720702227242,0.010381705368025788,0.010186610808471781,0.010071011865730548,0.010046858046558409,0.00995253532870462,0.009947531022377023,0.009909376738819212,0.009722448857307765,0.00971420616071849,0.009647028015358513,0.00915335967980939,0.009139726152266025,0.009115990583685035,0.009067475340139425,0.008849989956207142,0.008779634072290007,0.008618311207725207,0.008247467627580414,0.008223297019927049,0.007894855177680038,0.007826162585981665,0.007820786107699988,0.007394999877270692,0.007182094242237862,0.00702145843402486,0.006860750867978465,0.006802505447849752,0.006055230858515866,0.00605156056845211,0.005974010660009658,0.005862767007001991,0.0058052093900352875,0.005677414257304338,0.005584505938853515,0.005527178984112601,0.0050762202273262535,0.0049817387568773155,0.004399373846451034,0.004374425573794317,0.004324996584754776,0.00398809377412779,0.003941167722361601,0.003647592607917754,0.0035990238508344327,0.0035470963950333073,0.003494812647229065,0.003470326976340955,0.003433050984389098,0.003276174834175345,0.0032510125670292505,0.003223293023802082,0.0030730115754658903,0.002466006981932571,0.002392520825172511,0.0022556705046112707,0.0022556705046112664,0.0022417139994677358,0.0020447884768738673,0.0020318730025321668,0.0019534337329277156,0.001953433732927713,0.00138124993871051,0.0013812499387105088,0.0012056166045574877,0.0011251443704931295,0.0010079398382215232,0.000766460814611008,4.6219349422447546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Four Seasons Pizza,1.0,0.05825630500737044,0.0526516334450263,0.029904492095998117,0.028560048025206976,0.0285455237158297,0.02572552313163265,0.02506164026989029,0.02430973483861981,0.023118271078589776,0.022281132025055047,0.021629944993645622,0.021480630732448058,0.02120413969383512,0.020674324163802237,0.02064939001568235,0.019669379350988395,0.019439038233344565,0.018550377287222728,0.01817748022164024,0.01665658458587339,0.0163919457608427,0.013623758564858314,0.013437154916603952,0.013116675256492107,0.013027636323034173,0.012677632990318259,0.012386841037916851,0.012301647881986634,0.012188249022534533,0.012111039958843066,0.012026583409166776,0.011588789466261044,0.011347471120492406,0.010849879776972217,0.010330449933037469,0.010325593230644196,0.010313123409688204,0.01010202344449075,0.010049125236576886,0.010040027529639088,0.009931097434871316,0.008875163889966937,0.008681718310374434,0.008556436098013346,0.00842125838622336,0.008364558723032545,0.008202595889662677,0.008098799783058233,0.007791926261168044,0.007719403516282763,0.007701673737622521,0.007536944552794124,0.007505349056549474,0.007437814840044574,0.0070750404442850535,0.006990258419365153,0.006765844728334032,0.006736519266586294,0.006611508401425885,0.006611076736530518,0.006313271631949575,0.006232655051252479,0.005915141384614009,0.005786270750402815,0.0056175961220579365,0.005598741034149674,0.005584772864585881,0.005576367153495824,0.0054601923339594,0.005440199412269724,0.005340564668047396,0.005241523362170663,0.00523057901186704,0.0052298932846391475,0.005171439262626922,0.0051125475777148615,0.0050505426020581255,0.004597310900259438,0.004583718744702914,0.004536604580606893,0.004466714543076591,0.004360448267301375,0.004202747990488611,0.003989634955889437,0.003948183867434122,0.003940882276753401,0.0038643112816256794,0.003845333192411805,0.0036790175314323935,0.0036659641303136165,0.003641958636499253,0.003634706530078535,0.0034926598553317646,0.0033756639705018244,0.0029561938651403953,0.0027357322368767325,0.0027198023638516093,0.0026978965307801303,0.0025435789586220046,0.002543578958622004,0.002370985787670427,0.002279077062661295,0.0022027653994587575,0.0022027653994587553,0.0016010284253150414,0.0015575494175766064,0.0015575494175765962,0.0013489747152101445,0.0012805429402464822,0.001264171178675205,0.001103416328937587,0.000806175929847408,0.0007114218014783939,0.0006928654041068363,0.0006310561593322817,0.0005781545870528455,0.0003648008229334973,0.00036352935527791074,0.0002163026595617154,0.00014976627359220384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn & Cheese Pizza,1.0,0.021770737986281617,0.017069788813721953,0.016747677924278264,0.015558409123023243,0.015412436560307248,0.015362996919256014,0.01481385458155387,0.012411153349187104,0.012041735968596558,0.011983657313980814,0.011642773781023566,0.010939106337500603,0.010615572975132926,0.010574626296464492,0.010011501971092756,0.009562531681268057,0.0095430819410559,0.009497509062717194,0.009277965916424933,0.009178837956107517,0.009160965231886925,0.008988651104133986,0.00882920325694412,0.00828756361468982,0.007773872190914995,0.007451693892669485,0.007406124936797263,0.0072869443585256615,0.0071478494448603954,0.007113855018179912,0.0070154841682312785,0.0069010484630864675,0.006854358815420302,0.006655108148611392,0.0065915947630600605,0.006553177832153649,0.006517593317453004,0.0062863346727122914,0.0062588222395452775,0.006241474645454379,0.006108020125755963,0.006050602100297574,0.006048212480152803,0.005966775152689881,0.005749797493375193,0.005738381242428539,0.005540738247275622,0.005409563735769907,0.005302944501947793,0.005301777242100761,0.005120109699304196,0.005061547161613166,0.00504482080753925,0.005022466909352377,0.004927072986157255,0.0046141311361116155,0.004562821157953168,0.0044755363190082074,0.004451990645808879,0.004418131305451561,0.0043400879781274266,0.0042896348225519845,0.004239532057045985,0.004105544922016526,0.004097107237272901,0.0038800842638484134,0.0038539411307348215,0.003845333192411805,0.0036819115322160086,0.003666498278727315,0.0036469851983529436,0.003521004285455823,0.0033171738806425486,0.0032246144268437364,0.0031990997714630735,0.003091827143283538,0.003051773012571052,0.0029897037967733606,0.0029482485764280864,0.0028886752278958557,0.002869170797447147,0.002858844669037573,0.002759429270719118,0.002658363365440946,0.00263863010409385,0.002503167443189419,0.002435444981676425,0.002402777800278283,0.0023580350311268937,0.0022594333642925657,0.0022461169989572475,0.0022417139994677358,0.002223059803038413,0.0022172504590946204,0.002090787698595689,0.0020036809394965846,0.001739535861509731,0.0016952577412946224,0.0016040318190337513,0.0015851579197631524,0.0014056316138010038,0.0013075739681507332,0.0012964250253565874,0.0012254944421138936,0.0011811061124744312,0.0010364211751051385,0.0009622841760075966,0.0009072422735204369,0.0009072422735204365,0.0008352753604315895,0.0007856810901281335,0.0007856810901281325,0.0007758909958074272,0.0006017197426496532,0.0005555458264555548,0.0005555458264555534,0.0003670456687234416,0.00033683771954869313,0.00025116302333745035,0.00017286080941696587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
