orderDate,categoryTitle,dishTitle,orderQuantity,orderPrice
2021-08-07,Salad,"Garlic Mushroom with Chicken",2,520
2021-08-07,"Thin-Crust Pizza","Prawn-Lime Pizza",1,1050
2021-08-07,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-07,Sandwich,"Club Sandwich",1,260
2021-08-07,Starter,"Chicken Cheese Balls",3,360
2021-08-07,"Thin-Crust Pizza","Classic Margherita Pizza",1,600
2021-08-07,Starter,"Cheese Balls",2,200
2021-08-08,Starter,"French Fries",1,80
2021-08-08,Starter,"Buffalo Wings",1,190
2021-08-08,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-08-08,Sandwich,"Club Sandwich",2,520
2021-08-08,Starter,"Teriyaki Chicken Wings",2,400
2021-08-08,Drinks,"Coke Can",3,120
2021-08-08,Meal,"Fish & Chips",2,840
2021-08-08,"Thin-Crust Pizza","Pizza Seafood Marinara",2,760
2021-08-08,Drinks,"Water 500ml",2,30
2021-08-09,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,785
2021-08-09,"Thin-Crust Pizza","Vegetarian's Delight",1,680
2021-08-09,"Thick-Crust Pizza","Naga Beef Pizza",1,590
2021-08-10,Sandwich,"Club Sandwich",2,520
2021-08-10,Drinks,"Coke Can",1,40
2021-08-10,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,565
2021-08-10,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,465
2021-08-10,"Thin-Crust Pizza","Corn & Cheese Pizza",1,270
2021-08-11,"Thin-Crust Pizza","BBQ Chicken  Pizza",5,2095
2021-08-11,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-08-11,Drinks,"Water 500ml",4,60
2021-08-11,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,590
2021-08-11,Drinks,"Sprite Can",1,40
2021-08-11,Starter,"French Fries",2,160
2021-08-11,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-11,Pasta,"Seafood Marinara",1,350
2021-08-11,Starter,"Cheese Balls",2,200
2021-08-11,Starter,"Chicken Cheese Balls",1,120
2021-08-11,Drinks,"Coke Can",1,40
2021-08-11,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-08-11,Starter,"Prawn On Toast",1,180
2021-08-12,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-08-12,"Thin-Crust Pizza","Chicken Supreme Pizza",1,660
2021-08-12,Drinks,"Sprite Can",4,160
2021-08-12,Drinks,"Coke Can",4,160
2021-08-12,Drinks,"Water 500ml",4,60
2021-08-12,Starter,"Teriyaki Chicken Wings",1,200
2021-08-12,Starter,"Potato Wedges",1,120
2021-08-12,Starter,"Chicken Cheese Balls",1,120
2021-08-12,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,1105
2021-08-12,Starter,"Cheese Balls",2,200
2021-08-12,"Thin-Crust Pizza","Four Seasons Pizza",1,360
2021-08-12,"Burger with Fries","BBQ Chicken Burger",1,240
2021-08-12,"Burger with Fries","Peri Peri Beef Burger",1,310
2021-08-13,"Thin-Crust Pizza","Chicken Supreme Pizza",3,1650
2021-08-13,Starter,"Potato Wedges",4,480
2021-08-13,Starter,"Fried Calamari",1,290
2021-08-13,Sandwich,"Club Sandwich",2,520
2021-08-13,Drinks,"Water 500ml",14,210
2021-08-13,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-08-13,Meal,"Teriyaki Chicken",5,1450
2021-08-13,"Burger with Fries","Classic Chicken Burger",2,460
2021-08-13,"Burger with Fries","Classic Beef Burger",1,290
2021-08-13,Meal,"Fish & Chips",2,840
2021-08-13,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-13,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-08-13,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,610
2021-08-13,"Thin-Crust Pizza","Four Seasons Pizza",2,2060
2021-08-13,Starter,"Naga Wings",2,360
2021-08-13,Drinks,Coke,5,150
2021-08-13,Drinks,"Fanta Can",3,120
2021-08-13,Drinks,"Coke Can",9,360
2021-08-14,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,700
2021-08-14,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,500
2021-08-14,"Thin-Crust Pizza","Chicken Supreme Pizza",2,990
