orderDate,categoryTitle,dishTitle,orderQuantity,orderPrice
2021-07-04,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-07-04,"Thin-Crust Pizza","Chicken Supreme Pizza",2,1285
2021-07-04,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,940
2021-07-04,"Thin-Crust Pizza","Classic Margherita Pizza",1,285
2021-07-05,"Thin-Crust Pizza","Chicken Supreme Pizza",2,1170
2021-07-05,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,270
2021-07-05,Starter,"Buffalo Wings",1,170
2021-07-05,Starter,"Teriyaki Chicken Wings",1,180
2021-07-05,Starter,"Chicken Cheese Balls",5,450
2021-07-05,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,290
2021-07-05,Burger,"Peri Peri Beef Burger",1,240
2021-07-05,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,680
2021-07-05,Starter,"French Fries",2,100
2021-07-05,Starter,"Naga Wings",1,180
2021-07-05,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,1450
2021-07-05,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-07-05,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-06,Starter,"Chicken Cheese Balls",1,90
2021-07-06,Starter,"French Fries",1,50
2021-07-06,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-06,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,590
2021-07-06,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-07-06,"Thin-Crust Pizza","Vegetarian's Delight",1,250
2021-07-06,Salad,"Sauteed Garlic Mushroom",1,140
2021-07-06,"Thin-Crust Pizza","Chicken Supreme Pizza",1,850
2021-07-06,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,855
2021-07-06,Starter,"Buffalo Wings",1,170
2021-07-06,Starter,"BBQ Wings",1,160
2021-07-07,Starter,"Buffalo Wings",3,510
2021-07-07,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,310
2021-07-07,Starter,"Chicken Cheese Balls",4,360
2021-07-07,Starter,"Potato Wedges",3,225
2021-07-07,Burger,"Classic Chicken Burger",4,760
2021-07-07,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-07,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,500
2021-07-07,"Thin-Crust Pizza","Chicken Supreme Pizza",2,640
2021-07-07,Burger,"Chicken Cheese Burger",1,230
