Date,1. Kacchi Basmati ( P1 ),1. Kacchi Basmoti ( P3 ),1. Kacchi Basmati ( P5 ),2. Kacchi Basmati ( P1 ),2. Kacchi Basmoti ( P3 ),2. Kacchi Basmati ( P5 ),3. Kacchi Basmati ( P1 ),3. Kacchi Basmati ( P3 ),3. Kacchi Basmati ( P5 ),Achari Kabab,Chicken Reshmi Kabab,Chicken Hariali,Chicken Tikka,Mutton Boti Kabab,Chicken Roast,Jali Kabab,Mutton Rezala,Plan Naan,Butter Naan,Garlic Naan,Tilli Naan,Kashmiri Naan,Afgani Naan,Nawabiana Special Naan,Chicken chap,Chicken Taoya Jhal,Chicken Tandoori,Morog polao (Dim),Kacchi set,Polao set,Set 01,Set 02,Set 03,Set 04,Chicken Boti Taoya,Kacchi,Garlic chilli naan,Kacchi special,Plain Polao Set 1,Morog pola (Dim),Chicken onion chaap,Jali kabab,Jorda.1,Chicken Boti Taoya.1,Chicken Taowa Jhal,Chicken achari kabab,Chicken Tandoori.1,Plan naan,Butter naan,Garlic naan,Garlic chilli naan.1,Kashmiri Naan.1,Afghani naan,Nawabiana special naan,Ramadan Platter 01,Grill Platter,Kacchi set 2,Plain Polao Set 2,Nawabiana Kashmiri Naan,Chicken Nawabi Kabab,Chicken Onion Chap,Kasmiri Faluda,Strawberry Milkshake,Vanilla Milkshake,Chocolate Milkshake,Oreo Milkshake,Caramel Cold Coffee,Coconut Milkshake,Nawabiana Special Fruits Salad,4. Kacchi Basmati(P1),4. Kacchi Basmati(P3),Morog pola (Jali),Jhal Misty Voj,Achari Voj,Kashmiri voj,Nawabi Voj,Kacchi (Package),Plain Polao (Package),4. Kacchi Basmati(P5),Kacchi (4pcs Mutton),Jhal Misty Voj.1,Achari Voj.1,"Tandoori
 Voj",Nawabi Voj.1,Morog polao (jali),Chicken chap.1,KACCHI SET 3,Tikka Kabab,Morog polao without egg,Iftar package 01,Iftar package 2,Iftar package 03,Iftar package 4,Iftar package 5,Iftar package 6,Malai Lacchi,Blueberry Lacchi,Apple juice,Grape Juice,Malta Juice,Papaya  Juice,Pineapple Juice,Raw Mango,Ripe Mango,Olive Juice,Rose Apple  Juice,Oreo Cold Coffee,KitKat Cold Coffee,Special Faluda,Fruit salada
2022-07-31,396.0,3.0,4.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,16.0,52.0,6.0,0.0,6.0,0.0,8.0,39.0,3.0,6.0,4.0,3.0,0.0,7.0,0.0,2.0,1.0,5.0,25.0,1.0,0.0,2.0,19.0,8.0,0.0,0.0,2.0,2.0,0.0,13.0,19.0,9.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,333.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,12.0,0.0,13.0,38.0,9.0,0.0,3.0,0.0,0.0,34.0,1.0,7.0,7.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,23.0,16.0,0.0,2.0,37.0,10.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,11.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,392.0,3.0,1.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,13.0,23.0,6.0,0.0,0.0,3.0,0.0,23.0,0.0,3.0,5.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,15.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,16.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-03,358.0,5.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,45.0,3.0,0.0,0.0,3.0,0.0,49.0,0.0,5.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,12.0,4.0,3.0,0.0,0.0,2.0,1.0,4.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-04,351.0,4.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,25.0,58.0,1.0,0.0,4.0,0.0,1.0,31.0,7.0,10.0,2.0,1.0,0.0,14.0,2.0,1.0,1.0,5.0,22.0,4.0,0.0,1.0,231.0,14.0,2.0,0.0,3.0,4.0,0.0,4.0,13.0,19.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-05,338.0,4.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,8.0,0.0,31.0,45.0,11.0,0.0,4.0,1.0,0.0,34.0,11.0,12.0,4.0,0.0,0.0,11.0,1.0,0.0,1.0,3.0,61.0,0.0,0.0,2.0,6.0,9.0,24.0,0.0,0.0,6.0,0.0,8.0,5.0,19.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-06,379.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,25.0,46.0,12.0,3.0,9.0,3.0,3.0,56.0,3.0,10.0,2.0,3.0,0.0,6.0,4.0,0.0,1.0,1.0,34.0,8.0,0.0,4.0,9.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0,10.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-07,233.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,3.0,39.0,1.0,18.0,65.0,12.0,0.0,2.0,1.0,0.0,21.0,1.0,43.0,11.0,5.0,0.0,13.0,7.0,0.0,2.0,2.0,35.0,0.0,0.0,0.0,17.0,26.0,1.0,0.0,3.0,1.0,0.0,10.0,11.0,31.0,3.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,15.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-08,243.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,22.0,1.0,0.0,4.0,0.0,1.0,11.0,2.0,3.0,6.0,2.0,0.0,15.0,5.0,0.0,0.0,2.0,31.0,2.0,0.0,0.0,17.0,13.0,6.0,0.0,0.0,2.0,0.0,5.0,8.0,14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,289.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,19.0,49.0,1.0,0.0,6.0,1.0,1.0,11.0,7.0,8.0,9.0,0.0,0.0,13.0,3.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,13.0,30.0,4.0,1.0,2.0,0.0,0.0,5.0,11.0,18.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
